No C
0.6t: 358.8
0.6ts: 7.7
0.6sz: 2.2
0.6spd: 35.8
0.75t: 680.4
0.75ts: 12.4
0.75sz: 2.5
0.75spd: 26.9
0.9t: 485.6
0.9ts: 31
0.9spd: 12
0.9sz: 2.9

Method 1 [c=0.01]
0.6t: 348.4
0.6ts: 8
0.6sz: 2.2
0.6spd: 37.2
0.75t: 643.8
0.75ts: 12.9
0.75sz: 2.5
0.75spd: 28
0.9t: 409.4
0.9ts: 34.5
0.9spd: 12.5
0.9sz: 2.9

Method 1 [c=0.05]
0.6t: 332.6
0.6ts: 9
0.6sz: 2.2
0.6spd: 41.2
0.75t: 476.7
0.75ts: 18.4
0.75sz: 2.4
0.75spd: 29.3
0.9t: 281.7
0.9ts: 54
0.9spd: 12.6
0.9sz: 2.6

Method 1 [c=0.10]
0.6t: 271.7
0.6ts: 11.5
0.6sz: 2.1
0.6spd: 45.2
0.75t: 334.8
0.75ts: 25.3
0.75sz: 2.3
0.75spd: 30.4
0.9t: 166.2
0.9ts: 89.8
0.9spd: 12.3
0.9sz: 2.4

Method 1 [c=0.25]
0.6t: 131.5
0.6ts: 25.1
0.6sz: 1.9
0.6spd: 48.6
0.75t: 154.8
0.75ts: 58.4
0.75sz: 1.9
0.75spd: 30.1
0.9t: 73.3
0.9ts: 207.8
0.9spd: 11.6
0.9sz: 2

Method 1 [c=0.50]
0.6t: 55
0.6ts: 74.9
0.6sz: 1.6
0.6spd: 45.7
0.75t: 56.6
0.75ts: 173.2
0.75sz: 1.6
0.75spd: 27.9
0.9t: 26.9
0.9ts: 565.9
0.9spd: 10.7
0.9sz: 1.8

Method 2 [c=0.01]
0.6t: 356.7
0.6ts: 8
0.6sz: 2.3
0.6spd: 37
0.75t: 619.9
0.75ts: 13.4
0.75sz: 2.5
0.75spd: 27.9
0.9t: 431.8
0.9ts: 34.5
0.9spd: 12.5
0.9sz: 2.9

Method 2 [c=0.05]
0.6t: 323
0.6ts: 9.3
0.6sz: 2.2
0.6spd: 41.6
0.75t: 480.5
0.75ts: 17.6
0.75sz: 2.5
0.75spd: 29.4
0.9t: 284.9
0.9ts: 52.3
0.9spd: 12.7
0.9sz: 2.7

Method 2 [c=0.10]
0.6t: 265.8
0.6ts: 11.6
0.6sz: 2.1
0.6spd: 45.5
0.75t: 352.9
0.75ts: 25.7
0.75sz: 2.3
0.75spd: 30
0.9t: 186.6
0.9ts: 85.3
0.9spd: 12.3
0.9sz: 2.4

Method 2 [c=0.25]
0.6t: 137.9
0.6ts: 24.2
0.6sz: 1.9
0.6spd: 49
0.75t: 158.6
0.75ts: 58.4
0.75sz: 1.9
0.75spd: 30.3
0.9t: 82
0.9ts: 202.2
0.9spd: 11.6
0.9sz: 2.1

Method 2 [c=0.50]
0.6t: 49.1
0.6ts: 72.7
0.6sz: 1.5
0.6spd: 45.7
0.75t: 56
0.75ts: 170.3
0.75sz: 1.6
0.75spd: 27.7
0.9t: 25.3
0.9ts: 628.6
0.9spd: 10.7
0.9sz: 1.8

Method 3 [c=0.01]
0.6t: 341.4
0.6ts: 8
0.6sz: 2.2
0.6spd: 37.4
0.75t: 642
0.75ts: 13.2
0.75sz: 2.5
0.75spd: 28.3
0.9t: 402.1
0.9ts: 38.4
0.9spd: 12.4
0.9sz: 2.7

Method 3 [c=0.05]
0.6t: 317.5
0.6ts: 9.2
0.6sz: 2.2
0.6spd: 41
0.75t: 468.5
0.75ts: 18.5
0.75sz: 2.4
0.75spd: 29.2
0.9t: 264.1
0.9ts: 57.8
0.9spd: 12.5
0.9sz: 2.6

Method 3 [c=0.10]
0.6t: 263.3
0.6ts: 11.5
0.6sz: 2.1
0.6spd: 45.8
0.75t: 336.7
0.75ts: 25.8
0.75sz: 2.3
0.75spd: 29.8
0.9t: 180.4
0.9ts: 85
0.9spd: 12.2
0.9sz: 2.4

Method 3 [c=0.25]
0.6t: 140.5
0.6ts: 24
0.6sz: 1.9
0.6spd: 49.5
0.75t: 154.6
0.75ts: 56.6
0.75sz: 1.9
0.75spd: 30.4
0.9t: 78
0.9ts: 208.2
0.9spd: 12.1
0.9sz: 2

Method 3 [c=0.50]
0.6t: 51.6
0.6ts: 74
0.6sz: 1.6
0.6spd: 45.9
0.75t: 55.5
0.75ts: 171.2
0.75sz: 1.6
0.75spd: 27.7
0.9t: 28.4
0.9ts: 588.6
0.9spd: 10.8
0.9sz: 1.8

Method 4 [c=0.01]
0.6t: 362.7
0.6ts: 7.9
0.6sz: 2.2
0.6spd: 37.4
0.75t: 647.4
0.75ts: 13
0.75sz: 2.5
0.75spd: 27.4
0.9t: 412.4
0.9ts: 35.5
0.9spd: 12.5
0.9sz: 2.8

Method 4 [c=0.05]
0.6t: 329.5
0.6ts: 9
0.6sz: 2.2
0.6spd: 41.4
0.75t: 448.2
0.75ts: 18.2
0.75sz: 2.4
0.75spd: 29.6
0.9t: 263.6
0.9ts: 58.9
0.9spd: 12.6
0.9sz: 2.6

Method 4 [c=0.10]
0.6t: 275.7
0.6ts: 11.7
0.6sz: 2.1
0.6spd: 45.1
0.75t: 342.6
0.75ts: 24.8
0.75sz: 2.3
0.75spd: 29.9
0.9t: 176.7
0.9ts: 92
0.9spd: 12.4
0.9sz: 2.4

Method 4 [c=0.25]
0.6t: 132.6
0.6ts: 24.9
0.6sz: 1.9
0.6spd: 48.7
0.75t: 152.7
0.75ts: 57.6
0.75sz: 1.9
0.75spd: 30.7
0.9t: 75.4
0.9ts: 209
0.9spd: 11.8
0.9sz: 2

Method 4 [c=0.50]
0.6t: 45.5
0.6ts: 77
0.6sz: 1.6
0.6spd: 46
0.75t: 53.7
0.75ts: 184.4
0.75sz: 1.6
0.75spd: 27.7
0.9t: 22.3
0.9ts: 625.7
0.9spd: 10.8
0.9sz: 1.7

Method 5 [c=0.01]
0.6t: 386.3
0.6ts: 7.3
0.6sz: 2.2
0.6spd: 37
0.75t: 721.6
0.75ts: 11.7
0.75sz: 2.5
0.75spd: 27.4
0.9t: 544.7
0.9ts: 28.8
0.9spd: 12.7
0.9sz: 2.7

Method 5 [c=0.05]
0.6t: 458.9
0.6ts: 6.6
0.6sz: 2.1
0.6spd: 40.4
0.75t: 808.9
0.75ts: 10.8
0.75sz: 2.3
0.75spd: 30.1
0.9t: 428.4
0.9ts: 39.9
0.9spd: 13.6
0.9sz: 2.6

Method 5 [c=0.10]
0.6t: 502.3
0.6ts: 6.5
0.6sz: 2
0.6spd: 45.5
0.75t: 750.9
0.75ts: 12.4
0.75sz: 2.3
0.75spd: 33.1
0.9t: 22.1
0.9ts: 2028.7
0.9spd: 14
0.9sz: 2.6

Method 5 [c=0.25]
0.6t: 375.7
0.6ts: 10.6
0.6sz: 1.9
0.6spd: 62.2
0.75t: 32.3
0.75ts: 1118.5
0.75sz: 2.2
0.75spd: 41.4
0.9t: 1.5
0.9ts: 7614
0.9spd: 13.1
0.9sz: 2.1

Method 5 [c=0.50]
0.6t: 1.4
0.6ts: 1679.5
0.6sz: 1.7
0.6spd: 61.2
0.75t: 1.1
0.75ts: 4964.4
0.75sz: 1.7
0.75spd: 31.9
0.9t: 1.1
0.9ts: 8376.5
0.9spd: 11.3
0.9sz: 1.7

Method 6 [c=0.01]
0.6t: 366.9
0.6ts: 7.9
0.6sz: 2.3
0.6spd: 35.8
0.75t: 666.8
0.75ts: 12.1
0.75sz: 2.6
0.75spd: 26.9
0.9t: 518.3
0.9ts: 29.8
0.9spd: 12.2
0.9sz: 2.9

Method 6 [c=0.05]
0.6t: 362.5
0.6ts: 8.2
0.6sz: 2.3
0.6spd: 34.6
0.75t: 662.4
0.75ts: 12.2
0.75sz: 2.6
0.75spd: 26.5
0.9t: 493
0.9ts: 31.4
0.9spd: 12
0.9sz: 2.9

Method 6 [c=0.10]
0.6t: 349.5
0.6ts: 8.2
0.6sz: 2.4
0.6spd: 33.2
0.75t: 625.1
0.75ts: 12.8
0.75sz: 2.7
0.75spd: 25.2
0.9t: 472.4
0.9ts: 31.7
0.9spd: 11.9
0.9sz: 3

Method 6 [c=0.25]
0.6t: 171.9
0.6ts: 22.7
0.6sz: 2
0.6spd: 27.7
0.75t: 616.2
0.75ts: 13.7
0.75sz: 2.9
0.75spd: 23.2
0.9t: 376
0.9ts: 44
0.9spd: 10.7
0.9sz: 2.8

Method 6 [c=0.50]
0.6t: 58.8
0.6ts: 59.6
0.6sz: 1.7
0.6spd: 19.8
0.75t: 476.6
0.75ts: 17.4
0.75sz: 3.2
0.75spd: 19.9
0.9t: 390.5
0.9ts: 46.9
0.9spd: 9.5
0.9sz: 3.2

Method 7 [c=0.01]
0.6t: 332.2
0.6ts: 8.5
0.6sz: 2.3
0.6spd: 36.5
0.75t: 594.9
0.75ts: 14
0.75sz: 2.6
0.75spd: 27.1
0.9t: 388.8
0.9ts: 37.7
0.9spd: 12.3
0.9sz: 2.9

Method 7 [c=0.05]
0.6t: 212.3
0.6ts: 13.5
0.6sz: 2.4
0.6spd: 36.6
0.75t: 372.2
0.75ts: 23.7
0.75sz: 2.6
0.75spd: 26.6
0.9t: 247
0.9ts: 65.5
0.9spd: 11.9
0.9sz: 2.5

Method 7 [c=0.10]
0.6t: 131.5
0.6ts: 21.8
0.6sz: 2.5
0.6spd: 35.8
0.75t: 244.6
0.75ts: 34.9
0.75sz: 2.6
0.75spd: 25.5
0.9t: 163.5
0.9ts: 91.5
0.9spd: 11.5
0.9sz: 2.7

Method 7 [c=0.25]
0.6t: 50.8
0.6ts: 69.4
0.6sz: 2.5
0.6spd: 30.8
0.75t: 94.5
0.75ts: 87.4
0.75sz: 2.7
0.75spd: 23.1
0.9t: 78.9
0.9ts: 189.2
0.9spd: 10.2
0.9sz: 3.2

Method 7 [c=0.50]
0.6t: 4.7
0.6ts: 853
0.6sz: 1.5
0.6spd: 16.8
0.75t: 34.9
0.75ts: 257.7
0.75sz: 3
0.75spd: 18.3
0.9t: 27
0.9ts: 543.8
0.9spd: 8.5
0.9sz: 3.2

Method 8 [c=0.01]
0.6t: 342.3
0.6ts: 8.2
0.6sz: 2.3
0.6spd: 36.8
0.75t: 571.9
0.75ts: 13.8
0.75sz: 2.5
0.75spd: 27.5
0.9t: 428
0.9ts: 36
0.9spd: 12.5
0.9sz: 2.9

Method 8 [c=0.05]
0.6t: 230.6
0.6ts: 12
0.6sz: 2.3
0.6spd: 39.8
0.75t: 406.1
0.75ts: 21.8
0.75sz: 2.5
0.75spd: 28.1
0.9t: 243.8
0.9ts: 62.9
0.9spd: 12.4
0.9sz: 2.6

Method 8 [c=0.10]
0.6t: 157.5
0.6ts: 18.1
0.6sz: 2.2
0.6spd: 40.7
0.75t: 249.7
0.75ts: 34
0.75sz: 2.3
0.75spd: 27.6
0.9t: 166.2
0.9ts: 90.7
0.9spd: 12
0.9sz: 2.5

Method 8 [c=0.25]
0.6t: 69.8
0.6ts: 46.7
0.6sz: 2
0.6spd: 39.1
0.75t: 106
0.75ts: 78.5
0.75sz: 2.2
0.75spd: 26.2
0.9t: 74.3
0.9ts: 227.6
0.9spd: 11
0.9sz: 2.3

Method 8 [c=0.50]
0.6t: 27.3
0.6ts: 131.5
0.6sz: 1.8
0.6spd: 35.8
0.75t: 41.2
0.75ts: 208
0.75sz: 2.1
0.75spd: 24
0.9t: 30.3
0.9ts: 549.4
0.9spd: 9.9
0.9sz: 2.2
